RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i33093684,wstkg,2/8/2016 14:43,11,3,0,11,0,11,b25483043,"Great books : my adventures with Homer, Rousseau, Woolf, and other indestructible writers of the Western world / David Denby.",CB245.D44 1996,n
i71357531,wstkg,12/19/2015 12:05,6,4,1,5,0,6,b56884862,The uniqueness of Western civilization / by Ricardo Duchesne.,CB245.D757 2011,n
i25179536,wstkg,10/31/2010 16:38,8,3,0,8,0,8,b21357171,"The rebirth of the West : the Americanization of the democratic world, 1945-1958 / Peter Duignan and L.H. Gann.",CB245.D76 1992,n
i50345357,wstkg,10/11/2015 16:17,7,3,0,7,0,7,b36302934,"Against empire : feminisms, racism, and the West / Zillah Eisenstein.",CB245.E465 2004,n
i56687382,kcstk,11/23/2007 13:04,2,0,0,2,0,2,b36302934,"Against empire : feminisms, racism, and the West / Zillah Eisenstein.",CB245.E465 2004,n
i56873530,hstk ,11/4/2008 18:19,5,11,0,5,0,11,b36302934,"Against empire : feminisms, racism, and the West / Zillah Eisenstein.",CB245.E465 2004,n
i46762000,kcstk,  -  -  ,0,0,0,0,0,0,b34226588,The betrayal of the West / Jacques Ellul   translated by Matthew J. O'Connell.,CB245.E4T7e,n
i12725766,wstkg,7/26/2005 17:18,2,0,0,2,0,2,b1220755x,The betrayal of the West / Jacques Ellul   translated by Matthew J. O'Connell.,CB245.E513,n
i27209684,wstkg,3/28/2013 17:56,5,6,0,5,0,6,b23013606,Enduring Western civilization : the construction of the concept of Western civilization and its  others  / edited by Silvia Federici.,CB245.E54 1995,n
i1273794x,wstkg,8/11/2006 11:41,3,0,0,3,0,3,b12218510,Civilization and society in the West / Carolly Erickson.,CB245.E67,n
i72366436,kcstk,8/23/2013 16:22,4,3,0,4,0,4,b58061897,Civilization : the West and the rest / Niall Ferguson.,CB245.F37 2011,n
i25979383,wstkg,6/13/2006 16:40,2,3,0,2,0,3,b21969097,"Myths and politics in western societies : evaluating the crisis of modernity in the United States, Germany, and Great Britain / John Girling.",CB245.G55 1993,n
i20377344,wstkg,3/23/2006 17:50,2,0,0,2,0,2,b1742723x,The suicide and rebirth of western civilization : a collage of psychohistorical analogies / Marvin Goldwert.,CB245.G575,n
i15541393,rrdlg,  -  -  ,0,0,0,0,0,0,b14520552,The shaping of Western society  an inquiry approach.,CB245.G6,n
i43916120,ustk ,  -  -  ,0,0,0,0,0,0,b3217245x,Social history of Western civilization. vol. II : readings from the seventeenth century to the present / [Edited by] Richard M. Golden.,CB245.G61,n
i62099140,wstkg,3/24/2016 15:11,4,6,0,4,0,6,b47177196,Worlds made by words : scholarship and community in the modern West / Anthony Grafton.,CB245.G65 2009,n
i15544515,rrdlg,  -  -  ,0,0,0,0,0,0,b14522603,The shaping of Western society  an inquiry approach. Teacher's guide.,CB245.G6t,n
i62502797,wstkg,  -  -  ,0,0,0,0,0,0,b47566681,Threshold : the crisis of Western culture / Thom Hartmann.,CB245.H324x 2009,n
i46761998,kcstk,  -  -  ,0,0,0,0,0,0,b34226576,"A short history of Western civilization, / by John B. Harrison and Richard E. Sullivan.",CB245.H3S5 1966,n
i41908387,hstk ,  -  -  ,0,0,0,0,0,0,b30533727,The Traditions of the Western world.,CB245.H43,n
i64041062,wstkg,  -  -  ,0,0,0,0,0,0,b49531165,"In the cause of the west : thoughts on the past, present and future of a threatened civilization / by Kenneth H.W. Hilborn.",CB245.H553 2010,n
i10725957,wstkg,  -  -  ,0,0,0,0,0,0,b10543028,Landmarks of the Western heritage / edited by C. Warren Hollister.,CB245.H65,n
i10725969,rrdlg,  -  -  ,0,0,0,0,0,0,b10543028,Landmarks of the Western heritage / edited by C. Warren Hollister.,CB245.H65,n
i10725970,wstkg,  -  -  ,0,0,0,0,0,0,b10543028,Landmarks of the Western heritage / edited by C. Warren Hollister.,CB245.H65,n
i10725982,rrdlg,  -  -  ,0,0,0,0,0,0,b10543028,Landmarks of the Western heritage / edited by C. Warren Hollister.,CB245.H65,n
i1554249x,wstkg,  -  -  ,0,0,0,0,0,0,b14521283,The Ancient world to 300 A.D./ edited by Paul J. Alexander.,CB245.I34  v.1,n
i47815139,hstk ,  -  -  ,0,0,0,0,0,0,b14521283,The Ancient world to 300 A.D./ edited by Paul J. Alexander.,CB245.I34  v.1,n
i23032340,wstkg,11/8/2005 16:05,4,1,0,4,0,4,b19555817,"The Medieval world, 300-1300 / edited by Norman F. Cantor.",CB245.I34  v.2,n
i12565003,wstkg,11/20/2008 16:22,7,0,0,7,0,7,b12063101,"Renaissance and reformation, 1300-1648 / edited by G.R. Elton.",CB245.I34  v.3,n
i13681916,wstkg,3/8/2005 13:16,2,0,0,2,0,2,b12995630,"Renaissance and reformation, 1300-1648 / edited by G.R. Elton.",CB245.I34 1968  v.3,n
i23756020,wstkg,2/14/2008 16:08,5,8,0,5,0,8,b20153909,"Renaissance and Reformation, 1300-1648 / edited by G. R. Elton.",CB245.I34 1976  v.3,n
i46332522,kcstk,8/20/2014 14:56,1,1,0,1,0,1,b33894267,The ancient world to 300 A.D.,CB245.I37,n
i46332984,kcstk,  -  -  ,0,0,0,0,0,0,b33894644,The medieval world : 300-1300,CB245.I37,n
i46336308,kcstk,8/20/2014 14:56,2,1,0,15,0,15,b33897189,"Renaissance and Reformation, 1300-1648",CB245.I37,n
i4633631x,kcstk,2/8/2005 11:59,1,1,0,1,0,1,b33897190,"From absolutism to revolution, 1648-1848",CB245.I37,n
i46336333,kcstk,  -  -  ,0,0,0,0,0,0,b33897207,"The modern world, 1848 to the present",CB245.I37,n
i46761986,kcstk,8/20/2014 14:56,1,1,0,1,0,1,b34226564,"Ideas and institutions in Western civilization / Norman F. Cantor, general editor.",CB245.I37 1968,n
i5818109x,wstkg,8/27/2012 15:25,6,3,0,6,0,6,b42659346,Cultural amnesia : necessary memories from history and the arts / Clive James.,CB245.J338 2007,n
i58086882,wstkg,5/12/2016 16:24,4,3,0,4,0,4,b42603560,Cultural amnesia : notes in the margin of my time / Clive James.,CB245.J339 2007,n
i36140478,wstkg,3/19/2012 8:06,22,14,0,22,0,22,b27011227,Exploring the modern : patterns of Western culture and civilization / John Jervis.,CB245.J47 1998,n
i38604498,wstkg,10/24/2006 10:39,9,4,0,9,0,9,b28084111,Transgressing the modern : explorations in the western experience of otherness / John Jervis.,CB245.J48 1999,n
i48914423,hstk ,8/24/2006 12:51,1,2,0,1,0,2,b28084111,Transgressing the modern : explorations in the western experience of otherness / John Jervis.,CB245.J48 1999,n
i15541496,wstkg,12/2/2013 19:25,3,0,0,3,0,3,b14520618,Western civilization : mainstream readings & radical critiques.,CB245.K32 1973,n
i36442173,wstkg,10/20/2013 23:14,4,2,0,4,0,4,b27135639,The elsewhere community / Hugh Kenner.,CB245.K44 1998,n
i37433131,wstkg,3/7/2011 22:52,2,0,0,2,0,2,b27135639,The elsewhere community / Hugh Kenner.,CB245.K44 1998,n
i78450469,wovrg,4/16/2015 16:50,3,2,0,3,0,3,b6237820x,"Making Europe : the story of the West / Frank L. Kidner, Maria Bucur, Ralph Mathisen, Sally McKee, Theodore R. Weeks.",CB245.K49 2012,n
i43960984,ustk ,1/17/2012 13:20,15,32,0,15,0,32,b32215605,"Civilization in the West:   vol. II: since 1555 / Mark Kishlansky, Patrick Geary, Patricia O'Brien.",CB245.K61,n
i46336357,kcstk,  -  -  ,0,0,0,0,0,0,b33897219,Readings in Western civilization. Selected and edited by George H. Knoles and Rixford K. Snyder,CB245.K6R4 1960,n
i44182272,ustk ,  -  -  ,0,0,0,0,0,0,b32421436,"Readings in Western civilization, / selected and edited by George H. Knoles [and] Rixford K. Snyder.",CB245.K72,n
i15541502,wstkg,9/10/2010 16:17,2,0,0,2,0,2,b1452062x,"Readings in Western civilization, selected and edited by George H. Knoles and Rixford K. Snyder.",CB245.K72 1954,n
i15541514,rrdlg,  -  -  ,0,0,0,0,0,0,b14520631,The North Atlantic civilization.,CB245.K78,n
i15541526,wstkg,  -  -  ,0,0,0,0,0,0,b14520631,The North Atlantic civilization.,CB245.K78,n
i26779584,wstkg,11/17/2008 14:20,6,5,0,6,0,6,b22588516,C.S. Lewis for the third millennium : six essays on the abolition of man / Peter Kreeft.,CB245.K785 1994,n
