RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i38402580,ctxg ,2015-04-28 14:02,70,38,0,155,0,155,b27966549,"Canadian history 1900-2000 / Ian M. Hundey, Michael L. Magarrey.",F1033.H86 2000,n
i15192374,wstkg,2013-11-19 14:20,28,14,0,28,0,28,b14250846,Macdonald to Pearson : the prime ministers of Canada / Bruce Hutchison.,F1033.H875,n
i1542795x,wstkg,2016-02-06 16:05,21,9,0,21,0,21,b14430484,"Mr. Prime Minister, 1867-1964 / Bruce Hutchison.",F1033.H88 1964,n
i15427961,wstkg,2014-03-17 15:48,16,5,0,16,0,16,b14430484,"Mr. Prime Minister, 1867-1964 / Bruce Hutchison.",F1033.H88 1964,n
i15427973,wstkg,2005-02-22 13:52,10,9,0,10,0,10,b14430484,"Mr. Prime Minister, 1867-1964 / Bruce Hutchison.",F1033.H88 1964,n
i46345528,kcstk,2012-12-05 18:50,5,2,0,5,0,5,b33903840,His faults lie gently : the incredible Sam Hughes / Alan Capon   with foreword by Leslie M. Frost.,F1033.H8C3,n
i6219804x,kcstk,2012-04-11 14:12,2,0,0,2,0,2,b47184024,True patriot love : four generations in search of Canada / Michael Ignatieff.,F1033.I32 2009,n
i6220144x,wstkg,2013-09-17 17:09,4,0,0,4,0,4,b47184024,True patriot love : four generations in search of Canada / Michael Ignatieff.,F1033.I32 2009,n
i44149505,ustk ,  -  -  ,0,0,0,0,0,0,b32391444,Imperial relations in the age of Laurier  : essays / by H. Blair Neatby [and others] Introd. by Carl Berger.,F1033.I34,n
i15065169,wstkg,2016-02-06 16:05,10,2,1,9,0,10,b1415139x,Imperial relations in the age of Laurier : essays / by H. Blair Neatby ... [et al.]   introduction by Carl Berger.,F1033.I35,n
i46746523,kcstk,2013-03-03 20:31,2,1,0,2,0,2,b34214392,Imperial relations in the age of Laurier  : essays / by H. Blair Neatby [and others] Introd. by Carl Berger.,F1033.I5,n
i15041037,wstkg,2014-07-04 13:36,8,10,0,8,0,10,b14131742,Man of steel : the story of Sir Sandford Fleming / Hugh MacLean.,HE2808.2.F5M3,n
i4674664x,kcstk,  -  -  ,0,0,0,0,0,0,b14131742,Man of steel : the story of Sir Sandford Fleming / Hugh MacLean.,HE2808.2.F5M3,n
i25357207,lstkg,2009-09-28 17:35,2,0,0,2,0,2,b21497175,"Documenting Canada : a history of modern Canada in documents / Dave de Brou and Bill Waiser, editors.",KF4481.A2D65 1992,n
i56204917,ustk ,2014-01-16 17:13,5,0,0,40,0,40,b21497175,"Documenting Canada : a history of modern Canada in documents / Dave de Brou and Bill Waiser, editors.",KF4481.A2D65 1992,n
