RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i68085461,ckit2,2015-02-13 14:44,13,0,0,13,4,26,b46110343,Stolen children [videorecording] / a CBC production.,E96.5.S737 2008,n
i67074716,ckit2,2015-02-26 13:35,10,0,0,10,4,20,b5568290x,Stolen children [videorecording] : truth and reconciliation / Canadian Broadcasting Corporation.,E96.5.S7378 2010,n
i60479036,wstkg,2017-01-16 14:39,35,12,2,33,0,35,b4495010x,Moving beyond : understanding the impacts of residential school / Brent Stonefish   edited by Jode Kechego.,E96.5.S75 2007,n
i80298643,hmz  ,2015-03-12 18:26,1,2,0,1,0,2,b64194814,"Aboriginal people, resilience and the residential school legacy / prepared for the Aboriginal Healing Foundation by Madeleine Dion Stout and Gregory Kipling.",E96.5.S76 2014,n
i80315483,estkg,2016-10-19 18:06,1,0,1,0,0,1,b64194814,"Aboriginal people, resilience and the residential school legacy / prepared for the Aboriginal Healing Foundation by Madeleine Dion Stout and Gregory Kipling.",E96.5.S76 2014,n
i80796126,kcstk,2016-10-30 23:40,3,2,2,1,0,3,b64194814,"Aboriginal people, resilience and the residential school legacy / prepared for the Aboriginal Healing Foundation by Madeleine Dion Stout and Gregory Kipling.",E96.5.S76 2014,n
i84191570,ustk ,  -  -  ,0,0,0,0,0,0,b64194814,"Aboriginal people, resilience and the residential school legacy / prepared for the Aboriginal Healing Foundation by Madeleine Dion Stout and Gregory Kipling.",E96.5.S76 2014,n
i81797916,kcstk,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i81797928,kcstk,  -  -  ,0,0,0,0,0,0,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
i8179793x,kcstk,2016-11-23 14:01,2,0,1,1,0,2,b65353390,Canada's residential schools : the final report of the Truth and Reconciliation Commission of Canada / Truth and Reconciliation Commission of Canada.,E96.5.T773 2015,n
